name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
Western India,india/western-india,region,india,India,,domestic,true,true,Broad tourism region covering western India.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Rajasthan,india/western-india/rajasthan,state,india/western-india,India,,domestic,true,true,"Indian state known for forts, palaces, desert landscapes, wildlife, pilgrimage centres and living heritage.",,,,,October to March,,heritage|desert|wildlife|culture,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Jaipur and Dhundhar,india/western-india/rajasthan/jaipur-and-dhundhar,region,india/western-india/rajasthan,India,,domestic,true,true,"Jaipur, Dausa and nearby heritage destinations.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Mewar,india/western-india/rajasthan/mewar,region,india/western-india/rajasthan,India,,domestic,true,true,"Udaipur, Chittorgarh, Rajsamand, Dungarpur, Banswara and southern Rajasthan.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Marwar,india/western-india/rajasthan/marwar,region,india/western-india/rajasthan,India,,domestic,true,true,"Jodhpur, Pali, Barmer and western desert-edge destinations.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Jaisalmer Desert,india/western-india/rajasthan/jaisalmer-desert,region,india/western-india/rajasthan,India,,domestic,true,true,Thar Desert destinations around Jaisalmer.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Bikaner and Shekhawati,india/western-india/rajasthan/bikaner-and-shekhawati,region,india/western-india/rajasthan,India,,domestic,true,true,"Bikaner, Churu, Jhunjhunu, Sikar and painted-haveli towns.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Ajmer and Central Rajasthan,india/western-india/rajasthan/ajmer-and-central-rajasthan,region,india/western-india/rajasthan,India,,domestic,true,true,"Ajmer, Pushkar, Kishangarh, Nagaur and central Rajasthan.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Hadoti,india/western-india/rajasthan/hadoti,region,india/western-india/rajasthan,India,,domestic,true,true,"Kota, Bundi, Baran and Jhalawar.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Eastern Rajasthan,india/western-india/rajasthan/eastern-rajasthan,region,india/western-india/rajasthan,India,,domestic,true,true,"Bharatpur, Alwar, Karauli, Dholpur and Sawai Madhopur.",,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Mount Abu and Sirohi,india/western-india/rajasthan/mount-abu-and-sirohi,region,india/western-india/rajasthan,India,,domestic,true,true,Aravalli hill and temple destinations around Mount Abu.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Jaipur District,india/western-india/rajasthan/jaipur-and-dhundhar/jaipur-district,region,india/western-india/rajasthan/jaipur-and-dhundhar,India,,domestic,true,true,Tourism catalog region for Jaipur.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Dausa District,india/western-india/rajasthan/jaipur-and-dhundhar/dausa-district,region,india/western-india/rajasthan/jaipur-and-dhundhar,India,,domestic,true,true,Tourism catalog region for Dausa.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Udaipur District,india/western-india/rajasthan/mewar/udaipur-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Udaipur.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Chittorgarh District,india/western-india/rajasthan/mewar/chittorgarh-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Chittorgarh.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Rajsamand District,india/western-india/rajasthan/mewar/rajsamand-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Rajsamand.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Dungarpur District,india/western-india/rajasthan/mewar/dungarpur-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Dungarpur.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Banswara District,india/western-india/rajasthan/mewar/banswara-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Banswara.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Pratapgarh District,india/western-india/rajasthan/mewar/pratapgarh-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Pratapgarh.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Bhilwara District,india/western-india/rajasthan/mewar/bhilwara-district,region,india/western-india/rajasthan/mewar,India,,domestic,true,true,Tourism catalog region for Bhilwara.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Jodhpur District,india/western-india/rajasthan/marwar/jodhpur-district,region,india/western-india/rajasthan/marwar,India,,domestic,true,true,Tourism catalog region for Jodhpur.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
Pali District,india/western-india/rajasthan/marwar/pali-district,region,india/western-india/rajasthan/marwar,India,,domestic,true,true,Tourism catalog region for Pali.,,,,,,,,,,,,,,https://www.tourism.rajasthan.gov.in/tourist-destinations.html
