name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
Eastern India,india/eastern-india,region,india,India,,domestic,true,true,Broad tourism region covering eastern India.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Odisha,india/eastern-india/odisha,state,india/eastern-india,India,,domestic,true,true,"Eastern Indian state known for temple architecture, beaches, Buddhist heritage, wildlife, waterfalls, tribal cultures and crafts.",,,,,October to March,,heritage|beaches|wildlife|culture,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Bhubaneswar-Cuttack Heritage Region,india/eastern-india/odisha/bhubaneswar-cuttack-heritage-region,region,india/eastern-india/odisha,India,,domestic,true,true,"Capital-region temples, caves, museums, wetlands and urban heritage.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Puri-Konark-Chilika Coast,india/eastern-india/odisha/puri-konark-chilika-coast,region,india/eastern-india/odisha,India,,domestic,true,true,"Jagannath pilgrimage, Sun Temple, beaches, crafts and lagoon landscapes.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Northern Odisha,india/eastern-india/odisha/northern-odisha,region,india/eastern-india/odisha,India,,domestic,true,true,"Bhitarkanika, Similipal, Chandipur, Keonjhar hills and northern heritage.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Central Odisha,india/eastern-india/odisha/central-odisha,region,india/eastern-india/odisha,India,,domestic,true,true,"Dhenkanal, Angul, Satkosia, Nayagarh and central river-valley destinations.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Western Odisha,india/eastern-india/odisha/western-odisha,region,india/eastern-india/odisha,India,,domestic,true,true,"Sambalpur, Bargarh, Balangir, Kalahandi, Nuapada and western cultural landscapes.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Southern Odisha,india/eastern-india/odisha/southern-odisha,region,india/eastern-india/odisha,India,,domestic,true,true,"Ganjam, Gajapati, Kandhamal, Koraput, Rayagada, Malkangiri and Eastern Ghats destinations.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Buddhist Diamond Triangle,india/eastern-india/odisha/buddhist-diamond-triangle,region,india/eastern-india/odisha,India,,domestic,true,true,"Ratnagiri, Udayagiri, Lalitgiri and associated Buddhist archaeological landscapes.",,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Khordha District,india/eastern-india/odisha/bhubaneswar-cuttack-heritage-region/khordha-district,region,india/eastern-india/odisha/bhubaneswar-cuttack-heritage-region,India,,domestic,true,true,Tourism catalog region for Khordha.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Cuttack District,india/eastern-india/odisha/bhubaneswar-cuttack-heritage-region/cuttack-district,region,india/eastern-india/odisha/bhubaneswar-cuttack-heritage-region,India,,domestic,true,true,Tourism catalog region for Cuttack.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Puri District,india/eastern-india/odisha/puri-konark-chilika-coast/puri-district,region,india/eastern-india/odisha/puri-konark-chilika-coast,India,,domestic,true,true,Tourism catalog region for Puri.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Ganjam District,india/eastern-india/odisha/puri-konark-chilika-coast/ganjam-district,region,india/eastern-india/odisha/puri-konark-chilika-coast,India,,domestic,true,true,Tourism catalog region for Ganjam.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Balasore District,india/eastern-india/odisha/northern-odisha/balasore-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Balasore.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Bhadrak District,india/eastern-india/odisha/northern-odisha/bhadrak-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Bhadrak.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Kendrapara District,india/eastern-india/odisha/northern-odisha/kendrapara-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Kendrapara.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Mayurbhanj District,india/eastern-india/odisha/northern-odisha/mayurbhanj-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Mayurbhanj.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Keonjhar District,india/eastern-india/odisha/northern-odisha/keonjhar-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Keonjhar.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Sundargarh District,india/eastern-india/odisha/northern-odisha/sundargarh-district,region,india/eastern-india/odisha/northern-odisha,India,,domestic,true,true,Tourism catalog region for Sundargarh.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Dhenkanal District,india/eastern-india/odisha/central-odisha/dhenkanal-district,region,india/eastern-india/odisha/central-odisha,India,,domestic,true,true,Tourism catalog region for Dhenkanal.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Angul District,india/eastern-india/odisha/central-odisha/angul-district,region,india/eastern-india/odisha/central-odisha,India,,domestic,true,true,Tourism catalog region for Angul.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Nayagarh District,india/eastern-india/odisha/central-odisha/nayagarh-district,region,india/eastern-india/odisha/central-odisha,India,,domestic,true,true,Tourism catalog region for Nayagarh.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Jagatsinghpur District,india/eastern-india/odisha/central-odisha/jagatsinghpur-district,region,india/eastern-india/odisha/central-odisha,India,,domestic,true,true,Tourism catalog region for Jagatsinghpur.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Jajpur District,india/eastern-india/odisha/buddhist-diamond-triangle/jajpur-district,region,india/eastern-india/odisha/buddhist-diamond-triangle,India,,domestic,true,true,Tourism catalog region for Jajpur.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Sambalpur District,india/eastern-india/odisha/western-odisha/sambalpur-district,region,india/eastern-india/odisha/western-odisha,India,,domestic,true,true,Tourism catalog region for Sambalpur.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Jharsuguda District,india/eastern-india/odisha/western-odisha/jharsuguda-district,region,india/eastern-india/odisha/western-odisha,India,,domestic,true,true,Tourism catalog region for Jharsuguda.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
Bargarh District,india/eastern-india/odisha/western-odisha/bargarh-district,region,india/eastern-india/odisha/western-odisha,India,,domestic,true,true,Tourism catalog region for Bargarh.,,,,,,,,,,,,,,https://odishatourism.gov.in/content/tourism/en.html
