name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North India,india/north-india,region,india,India,,domestic,true,true,Broad tourism region covering northern India.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Punjab,india/north-india/punjab,state,india/north-india,India,,domestic,true,true,"North Indian state known for Sikh pilgrimage, forts, wetlands, rural culture, partition history, cuisine and vibrant cities.",,,,,October to March,,pilgrimage|heritage|culture|food,,,,,,,https://punjabtourism.punjab.gov.in/
Majha Region,india/north-india/punjab/majha-region,region,india/north-india/punjab,India,,domestic,true,true,"Amritsar, Tarn Taran, Gurdaspur and Pathankot heritage and pilgrimage circuits.",,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Doaba Region,india/north-india/punjab/doaba-region,region,india/north-india/punjab,India,,domestic,true,true,"Jalandhar, Hoshiarpur, Kapurthala and Shaheed Bhagat Singh Nagar.",,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Malwa Region,india/north-india/punjab/malwa-region,region,india/north-india/punjab,India,,domestic,true,true,"Ludhiana, Patiala, Bathinda, Sangrur, Moga, Faridkot, Ferozepur, Fazilka and southern Punjab.",,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Rupnagar and Chandigarh Gateway,india/north-india/punjab/rupnagar-and-chandigarh-gateway,region,india/north-india/punjab,India,,domestic,true,true,"Rupnagar, Anandpur Sahib, Mohali, Fatehgarh Sahib and Shivalik foothill destinations.",,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Amritsar District,india/north-india/punjab/majha-region/amritsar-district,region,india/north-india/punjab/majha-region,India,,domestic,true,true,Tourism catalog region for Amritsar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Tarn Taran District,india/north-india/punjab/majha-region/tarn-taran-district,region,india/north-india/punjab/majha-region,India,,domestic,true,true,Tourism catalog region for Tarn Taran.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Gurdaspur District,india/north-india/punjab/majha-region/gurdaspur-district,region,india/north-india/punjab/majha-region,India,,domestic,true,true,Tourism catalog region for Gurdaspur.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Pathankot District,india/north-india/punjab/majha-region/pathankot-district,region,india/north-india/punjab/majha-region,India,,domestic,true,true,Tourism catalog region for Pathankot.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Jalandhar District,india/north-india/punjab/doaba-region/jalandhar-district,region,india/north-india/punjab/doaba-region,India,,domestic,true,true,Tourism catalog region for Jalandhar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Hoshiarpur District,india/north-india/punjab/doaba-region/hoshiarpur-district,region,india/north-india/punjab/doaba-region,India,,domestic,true,true,Tourism catalog region for Hoshiarpur.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Kapurthala District,india/north-india/punjab/doaba-region/kapurthala-district,region,india/north-india/punjab/doaba-region,India,,domestic,true,true,Tourism catalog region for Kapurthala.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Shaheed Bhagat Singh Nagar District,india/north-india/punjab/doaba-region/shaheed-bhagat-singh-nagar-district,region,india/north-india/punjab/doaba-region,India,,domestic,true,true,Tourism catalog region for Shaheed Bhagat Singh Nagar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Ludhiana District,india/north-india/punjab/malwa-region/ludhiana-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Ludhiana.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Patiala District,india/north-india/punjab/malwa-region/patiala-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Patiala.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Bathinda District,india/north-india/punjab/malwa-region/bathinda-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Bathinda.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Sangrur District,india/north-india/punjab/malwa-region/sangrur-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Sangrur.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Moga District,india/north-india/punjab/malwa-region/moga-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Moga.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Faridkot District,india/north-india/punjab/malwa-region/faridkot-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Faridkot.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Ferozepur District,india/north-india/punjab/malwa-region/ferozepur-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Ferozepur.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Fazilka District,india/north-india/punjab/malwa-region/fazilka-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Fazilka.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Muktsar District,india/north-india/punjab/malwa-region/muktsar-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Muktsar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Barnala District,india/north-india/punjab/malwa-region/barnala-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Barnala.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Mansa District,india/north-india/punjab/malwa-region/mansa-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Mansa.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Malerkotla District,india/north-india/punjab/malwa-region/malerkotla-district,region,india/north-india/punjab/malwa-region,India,,domestic,true,true,Tourism catalog region for Malerkotla.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Rupnagar District,india/north-india/punjab/rupnagar-and-chandigarh-gateway/rupnagar-district,region,india/north-india/punjab/rupnagar-and-chandigarh-gateway,India,,domestic,true,true,Tourism catalog region for Rupnagar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
SAS Nagar District,india/north-india/punjab/rupnagar-and-chandigarh-gateway/sas-nagar-district,region,india/north-india/punjab/rupnagar-and-chandigarh-gateway,India,,domestic,true,true,Tourism catalog region for SAS Nagar.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Fatehgarh Sahib District,india/north-india/punjab/rupnagar-and-chandigarh-gateway/fatehgarh-sahib-district,region,india/north-india/punjab/rupnagar-and-chandigarh-gateway,India,,domestic,true,true,Tourism catalog region for Fatehgarh Sahib.,,,,,,,,,,,,,,https://punjabtourism.punjab.gov.in/
Amritsar,india/north-india/punjab/majha-region/amritsar-district/amritsar,city,india/north-india/punjab/majha-region/amritsar-district,India,,domestic,true,true,Major Sikh pilgrimage and heritage city near the India-Pakistan border.,31.6340,74.8723,,,October to March,,,,,,,,,https://punjabtourism.punjab.gov.in/
Golden Temple,india/north-india/punjab/majha-region/amritsar-district/amritsar/golden-temple,landmark,india/north-india/punjab/majha-region/amritsar-district/amritsar,India,,domestic,true,true,"Harmandir Sahib, the most revered gurdwara in Sikhism.",,,,150,,,gurdwara|pilgrimage,,,,,,,https://punjabtourism.punjab.gov.in/
Akal Takht,india/north-india/punjab/majha-region/amritsar-district/amritsar/akal-takht,landmark,india/north-india/punjab/majha-region/amritsar-district/amritsar,India,,domestic,true,true,Highest temporal seat of Sikh authority within the Golden Temple complex.,,,,60,,,gurdwara|heritage,,,,,,,https://punjabtourism.punjab.gov.in/
Jallianwala Bagh,india/north-india/punjab/majha-region/amritsar-district/amritsar/jallianwala-bagh,landmark,india/north-india/punjab/majha-region/amritsar-district/amritsar,India,,domestic,true,true,National memorial commemorating the 1919 massacre.,,,,90,,,memorial|history,,,,,,,https://punjabtourism.punjab.gov.in/
Partition Museum,india/north-india/punjab/majha-region/amritsar-district/amritsar/partition-museum,landmark,india/north-india/punjab/majha-region/amritsar-district/amritsar,India,,domestic,true,true,Museum documenting the 1947 partition of India.,,,,120,,,museum|history,,,,,,,https://punjabtourism.punjab.gov.in/
