name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
Meghalaya,india/north-east-india/meghalaya,state,india/north-east-india,India,,domestic,true,true,"Northeastern hill state known for waterfalls, caves, living-root bridges, sacred forests, clear rivers and Khasi, Jaintia and Garo cultures.",,,,,October to April,,waterfalls|caves|hills|culture,,,,,,,https://www.meghalayatourism.in/
Shillong and Khasi Hills,india/north-east-india/meghalaya/shillong-and-khasi-hills,region,india/north-east-india/meghalaya,India,,domestic,true,true,"Capital region, plateaus, waterfalls, sacred forests and living-root bridge destinations.",,,,,,,,,,,,,,https://www.meghalayatourism.in/
Sohra and Southern Khasi Hills,india/north-east-india/meghalaya/sohra-and-southern-khasi-hills,region,india/north-east-india/meghalaya,India,,domestic,true,true,"Sohra, Mawsynram, caves, waterfalls and Bangladesh-border viewpoints.",,,,,,,,,,,,,,https://www.meghalayatourism.in/
Jaintia Hills,india/north-east-india/meghalaya/jaintia-hills,region,india/north-east-india/meghalaya,India,,domestic,true,true,"Jowai, Nartiang, Dawki, Shnongpdeng, caves and cultural landscapes.",,,,,,,,,,,,,,https://www.meghalayatourism.in/
Ri-Bhoi and Umiam,india/north-east-india/meghalaya/ri-bhoi-and-umiam,region,india/north-east-india/meghalaya,India,,domestic,true,true,"Umiam Lake, Nongpoh, Umroi and forested northern gateways.",,,,,,,,,,,,,,https://www.meghalayatourism.in/
Garo Hills,india/north-east-india/meghalaya/garo-hills,region,india/north-east-india/meghalaya,India,,domestic,true,true,"Tura, Nokrek, Balpakram, Siju, Rongbang Dar and western Meghalaya.",,,,,,,,,,,,,,https://www.meghalayatourism.in/
East Khasi Hills District,india/north-east-india/meghalaya/shillong-and-khasi-hills/east-khasi-hills-district,region,india/north-east-india/meghalaya/shillong-and-khasi-hills,India,,domestic,true,true,Tourism catalog region for East Khasi Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
West Khasi Hills District,india/north-east-india/meghalaya/shillong-and-khasi-hills/west-khasi-hills-district,region,india/north-east-india/meghalaya/shillong-and-khasi-hills,India,,domestic,true,true,Tourism catalog region for West Khasi Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
Eastern West Khasi Hills District,india/north-east-india/meghalaya/shillong-and-khasi-hills/eastern-west-khasi-hills-district,region,india/north-east-india/meghalaya/shillong-and-khasi-hills,India,,domestic,true,true,Tourism catalog region for Eastern West Khasi Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
South West Khasi Hills District,india/north-east-india/meghalaya/sohra-and-southern-khasi-hills/south-west-khasi-hills-district,region,india/north-east-india/meghalaya/sohra-and-southern-khasi-hills,India,,domestic,true,true,Tourism catalog region for South West Khasi Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
East Jaintia Hills District,india/north-east-india/meghalaya/jaintia-hills/east-jaintia-hills-district,region,india/north-east-india/meghalaya/jaintia-hills,India,,domestic,true,true,Tourism catalog region for East Jaintia Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
West Jaintia Hills District,india/north-east-india/meghalaya/jaintia-hills/west-jaintia-hills-district,region,india/north-east-india/meghalaya/jaintia-hills,India,,domestic,true,true,Tourism catalog region for West Jaintia Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
Ri-Bhoi District,india/north-east-india/meghalaya/ri-bhoi-and-umiam/ri-bhoi-district,region,india/north-east-india/meghalaya/ri-bhoi-and-umiam,India,,domestic,true,true,Tourism catalog region for Ri-Bhoi.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
East Garo Hills District,india/north-east-india/meghalaya/garo-hills/east-garo-hills-district,region,india/north-east-india/meghalaya/garo-hills,India,,domestic,true,true,Tourism catalog region for East Garo Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
West Garo Hills District,india/north-east-india/meghalaya/garo-hills/west-garo-hills-district,region,india/north-east-india/meghalaya/garo-hills,India,,domestic,true,true,Tourism catalog region for West Garo Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
South Garo Hills District,india/north-east-india/meghalaya/garo-hills/south-garo-hills-district,region,india/north-east-india/meghalaya/garo-hills,India,,domestic,true,true,Tourism catalog region for South Garo Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
North Garo Hills District,india/north-east-india/meghalaya/garo-hills/north-garo-hills-district,region,india/north-east-india/meghalaya/garo-hills,India,,domestic,true,true,Tourism catalog region for North Garo Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
South West Garo Hills District,india/north-east-india/meghalaya/garo-hills/south-west-garo-hills-district,region,india/north-east-india/meghalaya/garo-hills,India,,domestic,true,true,Tourism catalog region for South West Garo Hills.,,,,,,,,,,,,,,https://www.meghalayatourism.in/
Shillong,india/north-east-india/meghalaya/shillong-and-khasi-hills/east-khasi-hills-district/shillong,city,india/north-east-india/meghalaya/shillong-and-khasi-hills/east-khasi-hills-district,India,,domestic,true,true,"Capital of Meghalaya, known for colonial heritage, music, markets, museums and hill viewpoints.",25.5788,91.8933,,,October to April,,,,,,,,,https://www.meghalayatourism.in/
