name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://arunachaltourism.com/
Arunachal Pradesh,india/north-east-india/arunachal-pradesh,state,india/north-east-india,India,,domestic,true,true,"Himalayan state known for monasteries, high passes, tribal cultures, forests, river valleys, wildlife and remote mountain settlements.",,,,,October to April,,mountains|culture|wildlife|monasteries,,,,,,,https://arunachaltourism.com/
Tawang and West Kameng Circuit,india/north-east-india/arunachal-pradesh/tawang-and-west-kameng-circuit,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Tawang, Bomdila, Dirang, Sela, Bhalukpong and Monpa Buddhist landscapes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Itanagar and Papum Pare,india/north-east-india/arunachal-pradesh/itanagar-and-papum-pare,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"State capital, archaeological heritage, museums, forests and railway-air gateways.",,,,,,,,,,,,,,https://arunachaltourism.com/
Ziro and Subansiri Circuit,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Ziro plateau, Apatani culture, Daporijo, Koloriang and central mountain routes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Siang and Adi Country,india/north-east-india/arunachal-pradesh/siang-and-adi-country,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Pasighat, Aalo, Boleng, Yingkiong, Tuting and Siang river landscapes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Mechuka and Western Siang,india/north-east-india/arunachal-pradesh/mechuka-and-western-siang,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Mechuka valley, monasteries, highland villages and border mountain routes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Dibang and Mishmi Hills,india/north-east-india/arunachal-pradesh/dibang-and-mishmi-hills,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Roing, Mayudia, Anini, Hunli, Mehao and Dibang valley landscapes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Lohit and Eastern Arunachal,india/north-east-india/arunachal-pradesh/lohit-and-eastern-arunachal,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Tezu, Wakro, Parasuram Kund, Hayuliang and eastern mountain routes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Namdapha and Changlang,india/north-east-india/arunachal-pradesh/namdapha-and-changlang,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Miao, Namdapha, Jairampur, Nampong, Vijoynagar and rainforest destinations.",,,,,,,,,,,,,,https://arunachaltourism.com/
"Tirap, Longding and Eastern Tribes",india/north-east-india/arunachal-pradesh/tirap-longding-and-eastern-tribes,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Khonsa, Longding, Deomali and Nocte-Wancho cultural landscapes.",,,,,,,,,,,,,,https://arunachaltourism.com/
Pakke and Kamle Forests,india/north-east-india/arunachal-pradesh/pakke-and-kamle-forests,region,india/north-east-india/arunachal-pradesh,India,,domestic,true,true,"Seijosa, Pakke, Raga, Palin and forest and river destinations.",,,,,,,,,,,,,,https://arunachaltourism.com/
Tawang District,india/north-east-india/arunachal-pradesh/tawang-and-west-kameng-circuit/tawang-district,region,india/north-east-india/arunachal-pradesh/tawang-and-west-kameng-circuit,India,,domestic,true,true,Tourism catalog region for Tawang.,,,,,,,,,,,,,,https://arunachaltourism.com/
West Kameng District,india/north-east-india/arunachal-pradesh/tawang-and-west-kameng-circuit/west-kameng-district,region,india/north-east-india/arunachal-pradesh/tawang-and-west-kameng-circuit,India,,domestic,true,true,Tourism catalog region for West Kameng.,,,,,,,,,,,,,,https://arunachaltourism.com/
Itanagar Capital Complex,india/north-east-india/arunachal-pradesh/itanagar-and-papum-pare/itanagar-capital-complex,region,india/north-east-india/arunachal-pradesh/itanagar-and-papum-pare,India,,domestic,true,true,Tourism catalog region for Itanagar Capital Complex.,,,,,,,,,,,,,,https://arunachaltourism.com/
Papum Pare District,india/north-east-india/arunachal-pradesh/itanagar-and-papum-pare/papum-pare-district,region,india/north-east-india/arunachal-pradesh/itanagar-and-papum-pare,India,,domestic,true,true,Tourism catalog region for Papum Pare.,,,,,,,,,,,,,,https://arunachaltourism.com/
Lower Subansiri District,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit/lower-subansiri-district,region,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit,India,,domestic,true,true,Tourism catalog region for Lower Subansiri.,,,,,,,,,,,,,,https://arunachaltourism.com/
Upper Subansiri District,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit/upper-subansiri-district,region,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit,India,,domestic,true,true,Tourism catalog region for Upper Subansiri.,,,,,,,,,,,,,,https://arunachaltourism.com/
Kra Daadi District,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit/kra-daadi-district,region,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit,India,,domestic,true,true,Tourism catalog region for Kra Daadi.,,,,,,,,,,,,,,https://arunachaltourism.com/
Kurung Kumey District,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit/kurung-kumey-district,region,india/north-east-india/arunachal-pradesh/ziro-and-subansiri-circuit,India,,domestic,true,true,Tourism catalog region for Kurung Kumey.,,,,,,,,,,,,,,https://arunachaltourism.com/
East Siang District,india/north-east-india/arunachal-pradesh/siang-and-adi-country/east-siang-district,region,india/north-east-india/arunachal-pradesh/siang-and-adi-country,India,,domestic,true,true,Tourism catalog region for East Siang.,,,,,,,,,,,,,,https://arunachaltourism.com/
