name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
South India,india/south-india,region,india,India,,domestic,true,true,Broad tourism region covering southern India.,,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Karnataka,india/south-india/karnataka,state,india/south-india,India,,domestic,true,true,"South Indian state known for Hampi, Mysuru, Bengaluru, Western Ghats, wildlife, beaches, temples, coffee regions and living heritage.",,,,,October to March,,heritage|wildlife|beaches|culture,,,,,,,https://karnatakatourism.org/en/destinations
Bengaluru and South Interior,india/south-india/karnataka/bengaluru-and-south-interior,region,india/south-india/karnataka,India,,domestic,true,true,"Bengaluru, Ramanagara, Kolar, Tumakuru and nearby urban, hill and heritage destinations.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Mysuru and Cauvery Region,india/south-india/karnataka/mysuru-and-cauvery-region,region,india/south-india/karnataka,India,,domestic,true,true,"Mysuru, Mandya, Srirangapatna, Shivanasamudra and Cauvery river destinations.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Coorg and Western Ghats,india/south-india/karnataka/coorg-and-western-ghats,region,india/south-india/karnataka,India,,domestic,true,true,"Kodagu coffee country, waterfalls, forests and highland villages.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Hampi and Vijayanagara,india/south-india/karnataka/hampi-and-vijayanagara,region,india/south-india/karnataka,India,,domestic,true,true,"Hampi, Anegundi, Hospet and Tungabhadra heritage landscapes.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
North Karnataka Heritage,india/south-india/karnataka/north-karnataka-heritage,region,india/south-india/karnataka,India,,domestic,true,true,"Badami, Pattadakal, Aihole, Vijayapura, Bidar, Kalaburagi, Gadag, Haveri and Belagavi.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Malnad and Central Karnataka,india/south-india/karnataka/malnad-and-central-karnataka,region,india/south-india/karnataka,India,,domestic,true,true,"Chikkamagaluru, Shivamogga, Sakleshpur, Davanagere and Western Ghats landscapes.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
Coastal Karnataka,india/south-india/karnataka/coastal-karnataka,region,india/south-india/karnataka,India,,domestic,true,true,"Mangaluru, Udupi, Gokarna, Karwar, beaches, islands and coastal temples.",,,,,,,,,,,,,,https://karnatakatourism.org/en/destinations
