name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Mizoram,india/north-east-india/mizoram,state,india/north-east-india,India,,domestic,true,true,"Northeastern hill state known for ridge-top towns, bamboo culture, waterfalls, caves, lakes, wildlife and Mizo community heritage.",,,,,October to April,,hills|culture|waterfalls|nature,,,,,,,https://tourism.mizoram.gov.in/
Aizawl and Central Mizoram,india/north-east-india/mizoram/aizawl-and-central-mizoram,region,india/north-east-india/mizoram,India,,domestic,true,true,"Capital region, museums, viewpoints, villages and central ridge landscapes.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Northern Mizoram,india/north-east-india/mizoram/northern-mizoram,region,india/north-east-india/mizoram,India,,domestic,true,true,"Kolasib, Bairabi, railway gateways, dams and northern hill destinations.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Eastern Mizoram,india/north-east-india/mizoram/eastern-mizoram,region,india/north-east-india/mizoram,India,,domestic,true,true,"Champhai, Zokhawthar, Reiek-side eastern routes, lakes and Myanmar-border landscapes.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Southern Mizoram,india/north-east-india/mizoram/southern-mizoram,region,india/north-east-india/mizoram,India,,domestic,true,true,"Lunglei, Lawngtlai, Saiha, Palak Lake and southern hill destinations.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Western Mizoram,india/north-east-india/mizoram/western-mizoram,region,india/north-east-india/mizoram,India,,domestic,true,true,"Mamit, Dampa, Reiek approaches and Bangladesh-border landscapes.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Serchhip and Central Highlands,india/north-east-india/mizoram/serchhip-and-central-highlands,region,india/north-east-india/mizoram,India,,domestic,true,true,"Serchhip, Thenzawl, Vantawng, Hmuifang and central highland circuits.",,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Railway and Airport Gateways,india/north-east-india/mizoram/railway-and-airport-gateways,region,india/north-east-india/mizoram,India,,domestic,true,true,Lengpui airport and the Bairabi–Sairang railway corridor.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Aizawl District,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district,region,india/north-east-india/mizoram/aizawl-and-central-mizoram,India,,domestic,true,true,Tourism catalog region for Aizawl.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Kolasib District,india/north-east-india/mizoram/northern-mizoram/kolasib-district,region,india/north-east-india/mizoram/northern-mizoram,India,,domestic,true,true,Tourism catalog region for Kolasib.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Champhai District,india/north-east-india/mizoram/eastern-mizoram/champhai-district,region,india/north-east-india/mizoram/eastern-mizoram,India,,domestic,true,true,Tourism catalog region for Champhai.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Khawzawl District,india/north-east-india/mizoram/eastern-mizoram/khawzawl-district,region,india/north-east-india/mizoram/eastern-mizoram,India,,domestic,true,true,Tourism catalog region for Khawzawl.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Saitual District,india/north-east-india/mizoram/eastern-mizoram/saitual-district,region,india/north-east-india/mizoram/eastern-mizoram,India,,domestic,true,true,Tourism catalog region for Saitual.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Lunglei District,india/north-east-india/mizoram/southern-mizoram/lunglei-district,region,india/north-east-india/mizoram/southern-mizoram,India,,domestic,true,true,Tourism catalog region for Lunglei.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Lawngtlai District,india/north-east-india/mizoram/southern-mizoram/lawngtlai-district,region,india/north-east-india/mizoram/southern-mizoram,India,,domestic,true,true,Tourism catalog region for Lawngtlai.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Saiha District,india/north-east-india/mizoram/southern-mizoram/saiha-district,region,india/north-east-india/mizoram/southern-mizoram,India,,domestic,true,true,Tourism catalog region for Saiha.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Hnahthial District,india/north-east-india/mizoram/southern-mizoram/hnahthial-district,region,india/north-east-india/mizoram/southern-mizoram,India,,domestic,true,true,Tourism catalog region for Hnahthial.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Mamit District,india/north-east-india/mizoram/western-mizoram/mamit-district,region,india/north-east-india/mizoram/western-mizoram,India,,domestic,true,true,Tourism catalog region for Mamit.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Serchhip District,india/north-east-india/mizoram/serchhip-and-central-highlands/serchhip-district,region,india/north-east-india/mizoram/serchhip-and-central-highlands,India,,domestic,true,true,Tourism catalog region for Serchhip.,,,,,,,,,,,,,,https://tourism.mizoram.gov.in/
Aizawl,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,city,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district,India,,domestic,true,true,"Capital of Mizoram, built along steep ridges and known for museums, markets, churches and viewpoints.",23.7271,92.7176,,,October to April,,,,,,,,,https://aizawl.nic.in/tourism/
Mizoram State Museum,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/mizoram-state-museum,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,"Museum of Mizo ethnography, textiles, weapons and cultural history.",,,,120,,,museum|culture,,,,,,,https://aizawl.nic.in/tourism/
Solomon's Temple Aizawl,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/solomon-s-temple-aizawl,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Large church complex and architectural landmark.,,,,90,,,church|architecture,,,,,,,https://aizawl.nic.in/tourism/
Durtlang Hills,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/durtlang-hills,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,High ridge viewpoints overlooking Aizawl.,,,,120,,,viewpoint|hill,,,,,,,https://aizawl.nic.in/tourism/
KV Paradise,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/kv-paradise,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Memorial garden and hillside viewpoint.,,,,75,,,memorial|viewpoint,,,,,,,https://aizawl.nic.in/tourism/
Berawtlang Tourist Complex,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/berawtlang-tourist-complex,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Hilltop tourism and recreation complex.,,,,120,,,viewpoint|family,,,,,,,https://aizawl.nic.in/tourism/
Bara Bazar Aizawl,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/bara-bazar-aizawl,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,"Central market known for local produce, textiles and daily life.",,,,120,,,market|shopping,,,,,,,https://aizawl.nic.in/tourism/
Millennium Centre,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/millennium-centre,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Urban shopping and commercial landmark.,,,,90,,,shopping|city,,,,,,,https://aizawl.nic.in/tourism/
Luangmual Handicrafts Centre,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/luangmual-handicrafts-centre,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,"Craft centre featuring bamboo, cane and textile products.",,,,120,,,craft|shopping,,,,,,,https://aizawl.nic.in/tourism/
Zion Street Aizawl,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/zion-street-aizawl,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Commercial and walking district in central Aizawl.,,,,90,,,shopping|walking,,,,,,,https://aizawl.nic.in/tourism/
Aizawl Theological College Viewpoint,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/aizawl-theological-college-viewpoint,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Ridge-top institutional and city panorama.,,,,60,,,viewpoint|architecture,,,,,,,https://aizawl.nic.in/tourism/
Lalsavunga Park,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/lalsavunga-park,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Hill park with adventure and family activities.,,,,150,,,park|family,,,,,,,https://aizawl.nic.in/tourism/
Falkawn Zokhua,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl/falkawn-zokhua,landmark,india/north-east-india/mizoram/aizawl-and-central-mizoram/aizawl-district/aizawl,India,,domestic,true,true,Traditional Mizo village and cultural interpretation site.,,,,150,,,village|culture,,,,,,,https://aizawl.nic.in/tourism/
