name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://manipurtourism.gov.in/
Manipur,india/north-east-india/manipur,state,india/north-east-india,India,,domestic,true,true,"Northeastern state known for Loktak Lake, classical dance, polo heritage, valley wetlands, hill cultures, caves and India-Myanmar border landscapes.",,,,,October to April,,culture|lakes|hills|heritage,,,,,,,https://manipurtourism.gov.in/
Imphal Valley,india/north-east-india/manipur/imphal-valley,region,india/north-east-india/manipur,India,,domestic,true,true,"Imphal city, royal heritage, museums, war sites and valley wetlands.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Loktak and Southern Valley,india/north-east-india/manipur/loktak-and-southern-valley,region,india/north-east-india/manipur,India,,domestic,true,true,"Loktak Lake, Moirang, Keibul Lamjao, Bishnupur and surrounding wetlands.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Ukhrul and Eastern Hills,india/north-east-india/manipur/ukhrul-and-eastern-hills,region,india/north-east-india/manipur,India,,domestic,true,true,"Ukhrul, Shirui, Khangkhui caves and Tangkhul hill landscapes.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Senapati and Northern Hills,india/north-east-india/manipur/senapati-and-northern-hills,region,india/north-east-india/manipur,India,,domestic,true,true,"Mao, Maram, Dzuko approaches, Willong and northern mountain villages.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Tamenglong and Western Hills,india/north-east-india/manipur/tamenglong-and-western-hills,region,india/north-east-india/manipur,India,,domestic,true,true,"Waterfalls, caves, Barak river landscapes and Rongmei cultural destinations.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Churachandpur and Southern Hills,india/north-east-india/manipur/churachandpur-and-southern-hills,region,india/north-east-india/manipur,India,,domestic,true,true,"Lamka, Khuga, Tipaimukh approaches and diverse hill communities.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Tengnoupal and Moreh Border,india/north-east-india/manipur/tengnoupal-and-moreh-border,region,india/north-east-india/manipur,India,,domestic,true,true,"Moreh, Tengnoupal, Khongjom and Indo-Myanmar gateway landscapes.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Jiribam and Railway Gateway,india/north-east-india/manipur/jiribam-and-railway-gateway,region,india/north-east-india/manipur,India,,domestic,true,true,"Jiribam, Barak lowlands, railway stations and western entry routes.",,,,,,,,,,,,,,https://manipurtourism.gov.in/
Imphal West District,india/north-east-india/manipur/imphal-valley/imphal-west-district,region,india/north-east-india/manipur/imphal-valley,India,,domestic,true,true,Tourism catalog region for Imphal West.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Imphal East District,india/north-east-india/manipur/imphal-valley/imphal-east-district,region,india/north-east-india/manipur/imphal-valley,India,,domestic,true,true,Tourism catalog region for Imphal East.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Thoubal District,india/north-east-india/manipur/imphal-valley/thoubal-district,region,india/north-east-india/manipur/imphal-valley,India,,domestic,true,true,Tourism catalog region for Thoubal.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Kakching District,india/north-east-india/manipur/imphal-valley/kakching-district,region,india/north-east-india/manipur/imphal-valley,India,,domestic,true,true,Tourism catalog region for Kakching.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Bishnupur District,india/north-east-india/manipur/loktak-and-southern-valley/bishnupur-district,region,india/north-east-india/manipur/loktak-and-southern-valley,India,,domestic,true,true,Tourism catalog region for Bishnupur.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Ukhrul District,india/north-east-india/manipur/ukhrul-and-eastern-hills/ukhrul-district,region,india/north-east-india/manipur/ukhrul-and-eastern-hills,India,,domestic,true,true,Tourism catalog region for Ukhrul.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Kamjong District,india/north-east-india/manipur/ukhrul-and-eastern-hills/kamjong-district,region,india/north-east-india/manipur/ukhrul-and-eastern-hills,India,,domestic,true,true,Tourism catalog region for Kamjong.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Senapati District,india/north-east-india/manipur/senapati-and-northern-hills/senapati-district,region,india/north-east-india/manipur/senapati-and-northern-hills,India,,domestic,true,true,Tourism catalog region for Senapati.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Kangpokpi District,india/north-east-india/manipur/senapati-and-northern-hills/kangpokpi-district,region,india/north-east-india/manipur/senapati-and-northern-hills,India,,domestic,true,true,Tourism catalog region for Kangpokpi.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Tamenglong District,india/north-east-india/manipur/tamenglong-and-western-hills/tamenglong-district,region,india/north-east-india/manipur/tamenglong-and-western-hills,India,,domestic,true,true,Tourism catalog region for Tamenglong.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Noney District,india/north-east-india/manipur/tamenglong-and-western-hills/noney-district,region,india/north-east-india/manipur/tamenglong-and-western-hills,India,,domestic,true,true,Tourism catalog region for Noney.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Churachandpur District,india/north-east-india/manipur/churachandpur-and-southern-hills/churachandpur-district,region,india/north-east-india/manipur/churachandpur-and-southern-hills,India,,domestic,true,true,Tourism catalog region for Churachandpur.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Pherzawl District,india/north-east-india/manipur/churachandpur-and-southern-hills/pherzawl-district,region,india/north-east-india/manipur/churachandpur-and-southern-hills,India,,domestic,true,true,Tourism catalog region for Pherzawl.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Tengnoupal District,india/north-east-india/manipur/tengnoupal-and-moreh-border/tengnoupal-district,region,india/north-east-india/manipur/tengnoupal-and-moreh-border,India,,domestic,true,true,Tourism catalog region for Tengnoupal.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Chandel District,india/north-east-india/manipur/tengnoupal-and-moreh-border/chandel-district,region,india/north-east-india/manipur/tengnoupal-and-moreh-border,India,,domestic,true,true,Tourism catalog region for Chandel.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Jiribam District,india/north-east-india/manipur/jiribam-and-railway-gateway/jiribam-district,region,india/north-east-india/manipur/jiribam-and-railway-gateway,India,,domestic,true,true,Tourism catalog region for Jiribam.,,,,,,,,,,,,,,https://manipurtourism.gov.in/district-wise-destination/
Imphal,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,city,india/north-east-india/manipur/imphal-valley/imphal-west-district,India,,domestic,true,true,"Capital of Manipur and centre of royal, cultural, sporting and wartime heritage.",24.8170,93.9368,,,October to April,,,,,,,,,https://manipurtourism.gov.in/
Kangla Fort,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/kangla-fort,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,"Former royal and political centre of Manipur with temples, moats and museums.",,,,180,,,fort|royal_heritage,,,,,,,https://manipurtourism.gov.in/places-to-see/
Shree Govindajee Temple,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/shree-govindajee-temple,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Historic Vaishnavite temple adjoining the former royal palace.,,,,90,,,temple|pilgrimage,,,,,,,https://manipurtourism.gov.in/places-to-see/
Ima Keithel,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/ima-keithel,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Women-run market complex and major cultural landmark.,,,,150,,,market|culture,,,,,,,https://manipurtourism.gov.in/places-to-see/
Manipur State Museum,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/manipur-state-museum,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,"Museum of archaeology, ethnography, royal objects and natural history.",,,,120,,,museum|culture,,,,,,,https://manipurtourism.gov.in/places-to-see/
Imphal War Cemetery,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/imphal-war-cemetery,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Commonwealth war cemetery from the Second World War.,,,,75,,,war_history|memorial,,,,,,,https://manipurtourism.gov.in/places-to-see/
Indian Army War Cemetery Imphal,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/indian-army-war-cemetery-imphal,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Military cemetery commemorating soldiers of the Imphal campaign.,,,,75,,,war_history|memorial,,,,,,,https://manipurtourism.gov.in/places-to-see/
INA Memorial Complex Imphal Gallery,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/ina-memorial-complex-imphal-gallery,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Interpretive exhibits related to the Indian National Army.,,,,90,,,museum|history,,,,,,,https://manipurtourism.gov.in/places-to-see/
Manipur Zoological Garden,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/manipur-zoological-garden,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Zoo known for regional wildlife including Sangai conservation interpretation.,,,,150,,,zoo|family,,,,,,,https://manipurtourism.gov.in/places-to-see/
Sambal-Lei-Sekpil Garden,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/sambal-lei-sekpil-garden,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Garden associated with a notably tall topiary plant.,,,,60,,,garden|family,,,,,,,https://manipurtourism.gov.in/places-to-see/
RKCS Art Gallery and Museum,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal/rkcs-art-gallery-and-museum,landmark,india/north-east-india/manipur/imphal-valley/imphal-west-district/imphal,India,,domestic,true,true,Gallery dedicated to Manipuri painter Rajkumar Chandrajitsana Singh.,,,,90,,,museum|art,,,,,,,https://manipurtourism.gov.in/places-to-see/
