name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North India,india/north-india,region,india,India,,domestic,true,true,Broad tourism region covering northern India.,,,,,,,,,,,,,,https://www.uptourism.gov.in/
Uttar Pradesh,india/north-india/uttar-pradesh,state,india/north-india,India,,domestic,true,true,"North Indian state known for sacred cities, Mughal monuments, Buddhist sites, royal heritage, wildlife, crafts and major rivers.",,,,,October to March,,pilgrimage|heritage|wildlife|culture,,,,,,,https://www.uptourism.gov.in/
Awadh and Central Uttar Pradesh,india/north-india/uttar-pradesh/awadh-and-central-uttar-pradesh,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Lucknow, Ayodhya, Barabanki, Sitapur, Hardoi and central Gangetic destinations.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Braj and Agra Region,india/north-india/uttar-pradesh/braj-and-agra-region,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Agra, Mathura, Vrindavan, Bharat-style Braj pilgrimage and western heritage.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Varanasi and Purvanchal,india/north-india/uttar-pradesh/varanasi-and-purvanchal,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Varanasi, Mirzapur, Sonbhadra, Jaunpur, Ghazipur, Azamgarh and eastern Uttar Pradesh.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Buddhist Circuit,india/north-india/uttar-pradesh/buddhist-circuit,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Sarnath, Kushinagar, Shravasti, Sankisa and Kapilvastu-associated destinations.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Prayagraj and Bundelkhand,india/north-india/uttar-pradesh/prayagraj-and-bundelkhand,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Prayagraj, Chitrakoot, Jhansi, Mahoba, Banda, Hamirpur and Bundelkhand.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Western Uttar Pradesh,india/north-india/uttar-pradesh/western-uttar-pradesh,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Meerut, Ghaziabad, Noida, Saharanpur, Muzaffarnagar, Bijnor and upper Ganga destinations.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
Rohilkhand and Terai,india/north-india/uttar-pradesh/rohilkhand-and-terai,region,india/north-india/uttar-pradesh,India,,domestic,true,true,"Bareilly, Pilibhit, Shahjahanpur, Lakhimpur Kheri, Bahraich and forest landscapes.",,,,,,,,,,,,,,https://www.uptourism.gov.in/
