name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North India,india/north-india,region,india,India,,domestic,true,true,Broad tourism region covering northern India.,,,,,,,,,,,,,,https://www.jktdc.co.in/
Jammu and Kashmir,india/north-india/jammu-and-kashmir,state,india/north-india,India,,domestic,true,true,"Union territory known for the Kashmir Valley, Jammu pilgrimage circuits, alpine lakes, Mughal gardens, mountain meadows and Himalayan heritage.",,,,,March to October,,mountains|pilgrimage|lakes|heritage,,,,,,,https://www.jktdc.co.in/
Srinagar and Central Kashmir,india/north-india/jammu-and-kashmir/srinagar-and-central-kashmir,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Srinagar, Dal Lake, Mughal gardens, Budgam and central valley destinations.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Gulmarg and North Kashmir,india/north-india/jammu-and-kashmir/gulmarg-and-north-kashmir,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Baramulla, Gulmarg, Uri, Lolab, Bangus, Gurez and north Kashmir.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Pahalgam and South Kashmir,india/north-india/jammu-and-kashmir/pahalgam-and-south-kashmir,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Anantnag, Pahalgam, Kokernag, Verinag, Aharbal and south Kashmir.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Jammu Region,india/north-india/jammu-and-kashmir/jammu-region,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Jammu city, Samba, Kathua, Akhnoor, lakes, forts and pilgrimage sites.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Chenab Valley,india/north-india/jammu-and-kashmir/chenab-valley,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Doda, Kishtwar, Bhaderwah, Ramban and high mountain valleys.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Pir Panjal Region,india/north-india/jammu-and-kashmir/pir-panjal-region,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Rajouri, Poonch, Mughal Road, lakes and borderland mountain destinations.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Reasi and Trikuta Hills,india/north-india/jammu-and-kashmir/reasi-and-trikuta-hills,region,india/north-india/jammu-and-kashmir,India,,domestic,true,true,"Katra, Vaishno Devi, Shiv Khori, Reasi and Chenab railway landmarks.",,,,,,,,,,,,,,https://www.jktdc.co.in/
Srinagar District,india/north-india/jammu-and-kashmir/srinagar-and-central-kashmir/srinagar-district,region,india/north-india/jammu-and-kashmir/srinagar-and-central-kashmir,India,,domestic,true,true,Tourism catalog region for Srinagar.,,,,,,,,,,,,,,https://www.jktdc.co.in/
Budgam District,india/north-india/jammu-and-kashmir/srinagar-and-central-kashmir/budgam-district,region,india/north-india/jammu-and-kashmir/srinagar-and-central-kashmir,India,,domestic,true,true,Tourism catalog region for Budgam.,,,,,,,,,,,,,,https://www.jktdc.co.in/
