name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North India,india/north-india,region,india,India,,domestic,true,true,Broad tourism region covering northern India.,,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Himachal Pradesh,india/north-india/himachal-pradesh,state,india/north-india,India,,domestic,true,true,"Himalayan state known for hill stations, valleys, temples, monasteries, trekking, skiing and heritage railways.",,,,,March to June and September to November,,mountains|trekking|pilgrimage|nature,,,,,,,https://himachaltourism.gov.in/destination/
Shimla and Solan Hills,india/north-india/himachal-pradesh/shimla-and-solan-hills,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Colonial hill stations, heritage railway, orchards and Shivalik destinations.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Kullu and Manali Valley,india/north-india/himachal-pradesh/kullu-and-manali-valley,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Beas valley, adventure tourism, temples, passes and Great Himalayan National Park.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Kangra and Dhauladhar,india/north-india/himachal-pradesh/kangra-and-dhauladhar,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Dharamshala, McLeod Ganj, tea gardens, forts, temples and Kangra Valley.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Chamba and Dalhousie,india/north-india/himachal-pradesh/chamba-and-dalhousie,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Colonial Dalhousie, Khajjiar, Chamba heritage and high mountain valleys.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Mandi and Seraj,india/north-india/himachal-pradesh/mandi-and-seraj,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Temple towns, lakes, valleys and central Himachal landscapes.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Kinnaur,india/north-india/himachal-pradesh/kinnaur,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Sutlej and Baspa valleys, monasteries, orchards and trans-Himalayan villages.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
Lahaul and Spiti,india/north-india/himachal-pradesh/lahaul-and-spiti,region,india/north-india/himachal-pradesh,India,,domestic,true,true,"Cold-desert valleys, monasteries, high passes and alpine lakes.",,,,,,,,,,,,,,https://himachaltourism.gov.in/destination/
