name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Assam,india/north-east-india/assam,state,india/north-east-india,India,,domestic,true,true,"Northeastern state shaped by the Brahmaputra and Barak valleys, known for wildlife, tea, river islands, temples and diverse cultures.",,,,,October to April,,wildlife|tea|river|culture,,,,,,,https://assamtourism.gov.in/Explore.php
Guwahati and Lower Assam,india/north-east-india/assam/guwahati-and-lower-assam,region,india/north-east-india/assam,India,,domestic,true,true,"Capital region, pilgrimage centres, wetlands, silk villages and lower Brahmaputra destinations.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Kaziranga and Central Assam,india/north-east-india/assam/kaziranga-and-central-assam,region,india/north-east-india/assam,India,,domestic,true,true,"Kaziranga landscape, Nagaon, Morigaon and central Brahmaputra destinations.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Upper Assam,india/north-east-india/assam/upper-assam,region,india/north-east-india/assam,India,,domestic,true,true,"Tea country, Ahom heritage, national parks and eastern Brahmaputra destinations.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Majuli and North Bank,india/north-east-india/assam/majuli-and-north-bank,region,india/north-east-india/assam,India,,domestic,true,true,River-island culture and north-bank destinations across Lakhimpur and Dhemaji.,,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Barak Valley,india/north-east-india/assam/barak-valley,region,india/north-east-india/assam,India,,domestic,true,true,"Silchar, Hailakandi and Karimganj destinations in southern Assam.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Dima Hasao and Karbi Hills,india/north-east-india/assam/dima-hasao-and-karbi-hills,region,india/north-east-india/assam,India,,domestic,true,true,"Hill stations, waterfalls, caves, forests and highland cultural landscapes.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
Bodoland Territorial Region,india/north-east-india/assam/bodoland-territorial-region,region,india/north-east-india/assam,India,,domestic,true,true,"Manas, Raimona, forests, rivers and Bodo cultural destinations.",,,,,,,,,,,,,,https://assamtourism.gov.in/Explore.php
