name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
Western India,india/western-india,region,india,India,,domestic,true,true,Broad tourism region covering western India.,,,,,,,,,,,,,,https://goa-tourism.com/
Goa,india/western-india/goa,state,india/western-india,India,,domestic,true,true,"India's smallest state by area, known for beaches, Indo-Portuguese heritage, churches, temples, forts, wildlife and Konkan culture.",,,,,November to February,,beaches|heritage|nightlife|nature,,,,,,,https://goa-tourism.com/
North Goa Coast,india/western-india/goa/north-goa-coast,region,india/western-india/goa,India,,domestic,true,true,"Popular northern beaches, forts, nightlife districts and estuaries.",,,,,,,,,,,,,,https://goa-tourism.com/
Central Goa and Tiswadi,india/western-india/goa/central-goa-and-tiswadi,region,india/western-india/goa,India,,domestic,true,true,"Panaji, Old Goa, Divar, Chorao and Mandovi river heritage.",,,,,,,,,,,,,,https://goa-tourism.com/
South Goa Coast,india/western-india/goa/south-goa-coast,region,india/western-india/goa,India,,domestic,true,true,"Margao, Vasco, quieter southern beaches and coastal villages.",,,,,,,,,,,,,,https://goa-tourism.com/
Goa Hinterland and Western Ghats,india/western-india/goa/goa-hinterland-and-western-ghats,region,india/western-india/goa,India,,domestic,true,true,"Wildlife sanctuaries, waterfalls, spice farms, temples and forest villages.",,,,,,,,,,,,,,https://goa-tourism.com/
North Goa District,india/western-india/goa/north-goa-coast/north-goa-district,region,india/western-india/goa/north-goa-coast,India,,domestic,true,true,Tourism catalog region for North Goa.,,,,,,,,,,,,,,https://goa-tourism.com/
South Goa District,india/western-india/goa/south-goa-coast/south-goa-district,region,india/western-india/goa/south-goa-coast,India,,domestic,true,true,Tourism catalog region for South Goa.,,,,,,,,,,,,,,https://goa-tourism.com/
Panaji,india/western-india/goa/north-goa-coast/north-goa-district/panaji,city,india/western-india/goa/north-goa-coast/north-goa-district,India,,domestic,true,true,"Capital of Goa, known for riverfront promenades, Latin Quarter, churches, museums and casinos.",15.4909,73.8278,,,November to February,,,,,,,,,https://goa-tourism.com/
