name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Nagaland,india/north-east-india/nagaland,state,india/north-east-india,India,,domestic,true,true,"Northeastern hill state known for living tribal cultures, festivals, mountain villages, forests, trekking and Second World War heritage.",,,,,October to May,,culture|villages|mountains|festivals,,,,,,,https://tourism.nagaland.gov.in/
Kohima and Southern Hills,india/north-east-india/nagaland/kohima-and-southern-hills,region,india/north-east-india/nagaland,India,,domestic,true,true,"Kohima, Kisama, Khonoma, Dzükou, Japfü and southern Angami and Chakhesang landscapes.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Dimapur and Western Gateway,india/north-east-india/nagaland/dimapur-and-western-gateway,region,india/north-east-india/nagaland,India,,domestic,true,true,"Dimapur, Chümoukedima, railway gateways, Kachari heritage and craft villages.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Mokokchung and Ao Country,india/north-east-india/nagaland/mokokchung-and-ao-country,region,india/north-east-india/nagaland,India,,domestic,true,true,"Mokokchung town, Ungma, Longkhum, Mopungchuket and Ao cultural destinations.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Mon and Konyak Country,india/north-east-india/nagaland/mon-and-konyak-country,region,india/north-east-india/nagaland,India,,domestic,true,true,"Mon, Longwa, Shangnyu and eastern Konyak villages near the Myanmar border.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Wokha and Lotha Hills,india/north-east-india/nagaland/wokha-and-lotha-hills,region,india/north-east-india/nagaland,India,,domestic,true,true,"Wokha, Doyang, Mount Tiyi and Lotha village landscapes.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Phek and Eastern Highlands,india/north-east-india/nagaland/phek-and-eastern-highlands,region,india/north-east-india/nagaland,India,,domestic,true,true,"Phek, Pfutsero, Khezhakeno, Shilloi Lake, Kapamodzü and Chakhesang areas.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Tuensang and Eastern Nagaland,india/north-east-india/nagaland/tuensang-and-eastern-nagaland,region,india/north-east-india/nagaland,India,,domestic,true,true,"Tuensang, Noklak, Longtrok, Changsangmonko and remote eastern hill cultures.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Zunheboto and Central Hills,india/north-east-india/nagaland/zunheboto-and-central-hills,region,india/north-east-india/nagaland,India,,domestic,true,true,"Zunheboto, Sumi villages, Ghosu bird sanctuary and central ridge landscapes.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Peren and Southwestern Hills,india/north-east-india/nagaland/peren-and-southwestern-hills,region,india/north-east-india/nagaland,India,,domestic,true,true,"Peren, Benreu, Jalukie, Ntangki and Zeliang cultural and forest destinations.",,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Kohima District,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,region,india/north-east-india/nagaland/kohima-and-southern-hills,India,,domestic,true,true,Tourism catalog region for Kohima.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Tseminyu District,india/north-east-india/nagaland/kohima-and-southern-hills/tseminyu-district,region,india/north-east-india/nagaland/kohima-and-southern-hills,India,,domestic,true,true,Tourism catalog region for Tseminyu.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Chümoukedima District,india/north-east-india/nagaland/dimapur-and-western-gateway/ch-moukedima-district,region,india/north-east-india/nagaland/dimapur-and-western-gateway,India,,domestic,true,true,Tourism catalog region for Chümoukedima.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Dimapur District,india/north-east-india/nagaland/dimapur-and-western-gateway/dimapur-district,region,india/north-east-india/nagaland/dimapur-and-western-gateway,India,,domestic,true,true,Tourism catalog region for Dimapur.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Niuland District,india/north-east-india/nagaland/dimapur-and-western-gateway/niuland-district,region,india/north-east-india/nagaland/dimapur-and-western-gateway,India,,domestic,true,true,Tourism catalog region for Niuland.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Mokokchung District,india/north-east-india/nagaland/mokokchung-and-ao-country/mokokchung-district,region,india/north-east-india/nagaland/mokokchung-and-ao-country,India,,domestic,true,true,Tourism catalog region for Mokokchung.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Mon District,india/north-east-india/nagaland/mon-and-konyak-country/mon-district,region,india/north-east-india/nagaland/mon-and-konyak-country,India,,domestic,true,true,Tourism catalog region for Mon.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Wokha District,india/north-east-india/nagaland/wokha-and-lotha-hills/wokha-district,region,india/north-east-india/nagaland/wokha-and-lotha-hills,India,,domestic,true,true,Tourism catalog region for Wokha.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Phek District,india/north-east-india/nagaland/phek-and-eastern-highlands/phek-district,region,india/north-east-india/nagaland/phek-and-eastern-highlands,India,,domestic,true,true,Tourism catalog region for Phek.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Tuensang District,india/north-east-india/nagaland/tuensang-and-eastern-nagaland/tuensang-district,region,india/north-east-india/nagaland/tuensang-and-eastern-nagaland,India,,domestic,true,true,Tourism catalog region for Tuensang.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Noklak District,india/north-east-india/nagaland/tuensang-and-eastern-nagaland/noklak-district,region,india/north-east-india/nagaland/tuensang-and-eastern-nagaland,India,,domestic,true,true,Tourism catalog region for Noklak.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Shamator District,india/north-east-india/nagaland/tuensang-and-eastern-nagaland/shamator-district,region,india/north-east-india/nagaland/tuensang-and-eastern-nagaland,India,,domestic,true,true,Tourism catalog region for Shamator.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Kiphire District,india/north-east-india/nagaland/tuensang-and-eastern-nagaland/kiphire-district,region,india/north-east-india/nagaland/tuensang-and-eastern-nagaland,India,,domestic,true,true,Tourism catalog region for Kiphire.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Zunheboto District,india/north-east-india/nagaland/zunheboto-and-central-hills/zunheboto-district,region,india/north-east-india/nagaland/zunheboto-and-central-hills,India,,domestic,true,true,Tourism catalog region for Zunheboto.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Peren District,india/north-east-india/nagaland/peren-and-southwestern-hills/peren-district,region,india/north-east-india/nagaland/peren-and-southwestern-hills,India,,domestic,true,true,Tourism catalog region for Peren.,,,,,,,,,,,,,,https://tourism.nagaland.gov.in/
Kohima,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,"Capital of Nagaland, known for war history, museums, markets, churches and hill views.",25.6751,94.1086,,,October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Kohima War Cemetery,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/kohima-war-cemetery,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Commonwealth cemetery commemorating the Battle of Kohima.,,,,120,,,war_history|memorial,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Nagaland State Museum,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/nagaland-state-museum,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,"Museum of tribal textiles, weapons, ornaments and traditional life.",,,,120,,,museum|culture,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Kohima Cathedral,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/kohima-cathedral,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Large Catholic cathedral and architectural landmark.,,,,75,,,church|architecture,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Kohima Village Bara Basti,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/kohima-village-bara-basti,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Historic Angami settlement and traditional gateway.,,,,120,,,village|heritage,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Kohima Local Market,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/kohima-local-market,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,"Market known for produce, food and local products.",,,,120,,,market|food,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Deputy Commissioner's Hill Viewpoint,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/deputy-commissioner-s-hill-viewpoint,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Hill and city panorama.,,,,60,,,viewpoint|city,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Puliebadze,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/puliebadze,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Hill and forest viewpoint above Kohima.,,,,180,,,hill|trekking,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Jakhama Heritage Landscape,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/jakhama-heritage-landscape,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Angami village and terraced-field landscape.,,,,120,,,village|culture,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Kohima Botanical Garden,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/kohima-botanical-garden,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Urban botanical and recreation garden.,,,,90,,,garden|family,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Raj Bhavan Viewpoint Kohima,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima/raj-bhavan-viewpoint-kohima,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kohima,India,,domestic,true,true,Ridge and valley viewpoint around the capital precinct.,,,,45,,,viewpoint|walking,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Kisama,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,Heritage village complex and principal venue of the Hornbill Festival.,,,,,October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Kisama Heritage Village,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama/kisama-heritage-village,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama,India,,domestic,true,true,Cultural complex representing traditional Naga morungs and houses.,,,,180,,,culture|heritage_village,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Hornbill Festival Grounds,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama/hornbill-festival-grounds,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama,India,,domestic,true,true,Festival venue used for major cultural performances and events.,,,,180,,,festival|culture,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
World War II Museum Kisama,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama/world-war-ii-museum-kisama,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama,India,,domestic,true,true,Museum presenting regional wartime history.,,,,90,,,museum|war_history,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Naga Heritage Amphitheatre,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama/naga-heritage-amphitheatre,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/kisama,India,,domestic,true,true,Performance venue within Kisama.,,,,75,,,culture|performance,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Khonoma,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,"Historic Angami village known for conservation, terraces and resistance history.",,,,,October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Khonoma Green Village,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma/khonoma-green-village,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,India,,domestic,true,true,Community-led conservation and heritage village.,,,,180,,,village|ecotourism,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Khonoma Forts,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma/khonoma-forts,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,India,,domestic,true,true,Historic defensive sites associated with Angami resistance.,,,,120,,,fort|history,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Khonoma Terraced Fields,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma/khonoma-terraced-fields,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,India,,domestic,true,true,Traditional wet-rice cultivation landscape.,,,,120,,,agriculture|photography,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Khonoma Nature Conservation and Tragopan Sanctuary,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma/khonoma-nature-conservation-and-tragopan-sanctuary,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,India,,domestic,true,true,Community-conserved forest and bird habitat.,,,,240,,,wildlife|forest,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
G H Damant Memorial,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma/g-h-damant-memorial,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/khonoma,India,,domestic,true,true,Memorial associated with nineteenth-century colonial conflict.,,,,45,,,memorial|history,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Dzükou Valley,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,"High mountain valley known for seasonal flowers, grasslands and trekking.",,,,,June to September and October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Dzükou Valley Trek,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley/dz-kou-valley-trek,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley,India,,domestic,true,true,Main trekking route into the highland valley.,,,,480,,,trekking|valley,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Dzükou Lily Habitat,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley/dz-kou-lily-habitat,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley,India,,domestic,true,true,Seasonal habitat of the Dzükou lily and alpine flora.,,,,180,,,flowers|nature,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Dzükou Valley Campsite,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley/dz-kou-valley-campsite,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley,India,,domestic,true,true,Managed trekking and overnight area where operational.,,,,120,,,camping|trekking,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Dzükou River,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley/dz-kou-river,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/dz-kou-valley,India,,domestic,true,true,Cold mountain stream flowing through the valley.,,,,90,,,river|nature,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Japfü Peak,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/japf-peak,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,High mountain and trekking destination south of Kohima.,,,,,October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Japfü Peak Trek,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/japf-peak/japf-peak-trek,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/japf-peak,India,,domestic,true,true,Forest and ridge trek to one of Nagaland's highest peaks.,,,,480,,,trekking|mountain,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Japfü Rhododendron Forest,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/japf-peak/japf-rhododendron-forest,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/japf-peak,India,,domestic,true,true,Forest habitat known for giant rhododendrons.,,,,180,,,forest|flowers,,,,,,,https://tourism.nagaland.gov.in/tourism-policy/
Tuophema,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/tuophema,city,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district,India,,domestic,true,true,Angami heritage village and community tourism destination.,,,,,October to May,,,,,,,,,https://tourism.nagaland.gov.in/
Tuophema Tourist Village,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/tuophema/tuophema-tourist-village,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/tuophema,India,,domestic,true,true,Traditional-style accommodation and cultural complex.,,,,150,,,heritage_village|culture,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
Tuophema Village Walk,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/tuophema/tuophema-village-walk,landmark,india/north-east-india/nagaland/kohima-and-southern-hills/kohima-district/tuophema,India,,domestic,true,true,"Angami village, fields and local-history route.",,,,150,,,village|walking,,,,,,,https://tourism.nagaland.gov.in/category/destinations/
