name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
Eastern India,india/eastern-india,region,india,India,,domestic,true,true,Broad tourism region covering eastern India.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
West Bengal,india/eastern-india/west-bengal,state,india/eastern-india,India,,domestic,true,true,"Indian state spanning the Himalayas, Gangetic plains, plateau fringe and Bay of Bengal coast.",,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Kolkata Metropolitan Region,india/eastern-india/west-bengal/kolkata-metropolitan-region,region,india/eastern-india/west-bengal,India,,domestic,true,true,"Kolkata and its principal urban, heritage and riverfront destinations.",,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Darjeeling Himalaya,india/eastern-india/west-bengal/darjeeling-himalaya,region,india/eastern-india/west-bengal,India,,domestic,true,true,"Mountain destinations around Darjeeling, Kalimpong, Kurseong and Mirik.",,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Dooars and Terai,india/eastern-india/west-bengal/dooars-and-terai,region,india/eastern-india/west-bengal,India,,domestic,true,true,"Forests, rivers, tea gardens and foothill destinations of North Bengal.",,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Rarh Bengal,india/eastern-india/west-bengal/rarh-bengal,region,india/eastern-india/west-bengal,India,,domestic,true,true,Red-soil cultural and heritage belt of western Bengal.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Gangetic Bengal,india/eastern-india/west-bengal/gangetic-bengal,region,india/eastern-india/west-bengal,India,,domestic,true,true,Historic towns and riverine destinations of central Bengal.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Bengal Coast,india/eastern-india/west-bengal/bengal-coast,region,india/eastern-india/west-bengal,India,,domestic,true,true,Beach and coastal destinations along the Bay of Bengal.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Sundarbans,india/eastern-india/west-bengal/sundarbans,region,india/eastern-india/west-bengal,India,,domestic,true,true,Mangrove delta and wildlife tourism region.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
North Bengal Plains,india/eastern-india/west-bengal/north-bengal-plains,region,india/eastern-india/west-bengal,India,,domestic,true,true,Historic and cultural destinations across the northern plains.,,,,,,,,,,,,,,https://www.wbtourism.gov.in/
Kolkata,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,city,india/eastern-india/west-bengal/kolkata-metropolitan-region,India,,domestic,true,true,"State capital known for colonial architecture, culture, museums, markets and Hooghly riverfront.",22.5726,88.3639,,,October to March,,heritage|culture|family|food,,,,,,,https://www.wbtourism.gov.in/
Victoria Memorial,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/victoria-memorial,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Marble memorial and museum dedicated to Queen Victoria.,22.5448,88.3426,,120,October to March,,heritage|museum|family,,,,,,,https://www.aai.aero/en/airports/kolkata
Indian Museum,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/indian-museum,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,"Major museum with archaeology, art, fossils and natural-history collections.",22.5579,88.3511,,150,October to March,,museum|family|history,,,,,,,https://www.aai.aero/en/airports/kolkata
St. Paul's Cathedral,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/st-paul-s-cathedral,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Historic Anglican cathedral beside the Maidan.,22.5437,88.3460,,45,October to March,,religious|architecture|heritage,,,,,,,https://www.aai.aero/en/airports/kolkata
Birla Planetarium,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/birla-planetarium,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Planetarium offering astronomy shows and educational exhibits.,22.5455,88.3472,,90,October to March,,family|education|indoor,,,,,,,https://www.aai.aero/en/airports/kolkata
Maidan,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/maidan,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Large urban green space and recreation ground in central Kolkata.,22.5492,88.3426,,90,October to March,,park|family|walking,,,,,,,https://www.aai.aero/en/airports/kolkata
Prinsep Ghat,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/prinsep-ghat,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Colonial riverside monument and promenade on the Hooghly.,22.5551,88.3310,,75,October to March,,riverfront|sunset|couples,,,,,,,https://www.aai.aero/en/airports/kolkata
Howrah Bridge,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata/howrah-bridge,landmark,india/eastern-india/west-bengal/kolkata-metropolitan-region/kolkata,India,,domestic,true,true,Iconic cantilever bridge over the Hooghly River.,22.5851,88.3468,,30,October to March,,landmark|architecture|photography,,,,,,,https://www.aai.aero/en/airports/kolkata
