name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://sikkimtourism.gov.in/
Sikkim,india/north-east-india/sikkim,state,india/north-east-india,India,,domestic,true,true,"Eastern Himalayan state known for Khangchendzonga, monasteries, alpine lakes, valleys and biodiversity.",,,,,March to May and October to December,,mountains|nature|culture|adventure,,,,,,,https://sikkimtourism.gov.in/
Gangtok and East Sikkim,india/north-east-india/sikkim/gangtok-and-east-sikkim,region,india/north-east-india/sikkim,India,,domestic,true,true,"Capital region, monasteries, high-altitude lakes and the Nathula corridor.",,,,,,,,,,,,,,https://sikkimtourism.gov.in/
North Sikkim,india/north-east-india/sikkim/north-sikkim,region,india/north-east-india/sikkim,India,,domestic,true,true,"High-altitude valleys, lakes, villages and mountain landscapes.",,,,,,,,,,,,,,https://sikkimtourism.gov.in/
West Sikkim,india/north-east-india/sikkim/west-sikkim,region,india/north-east-india/sikkim,India,,domestic,true,true,"Khangchendzonga viewpoints, monasteries, trekking bases and heritage sites.",,,,,,,,,,,,,,https://sikkimtourism.gov.in/
South Sikkim,india/north-east-india/sikkim/south-sikkim,region,india/north-east-india/sikkim,India,,domestic,true,true,"Temples, tea gardens, monasteries, forests and rural destinations.",,,,,,,,,,,,,,https://sikkimtourism.gov.in/
Pakyong and East Sikkim,india/north-east-india/sikkim/pakyong-and-east-sikkim,region,india/north-east-india/sikkim,India,,domestic,true,true,"Airport gateway, Silk Route settlements, lakes and eastern valleys.",,,,,,,,,,,,,,https://sikkimtourism.gov.in/
Gangtok,india/north-east-india/sikkim/gangtok-and-east-sikkim/gangtok,city,india/north-east-india/sikkim/gangtok-and-east-sikkim,India,,domestic,true,true,"Capital of Sikkim and the main base for monasteries, viewpoints, markets and high-altitude excursions.",27.3389,88.6065,,,March to May and October to December,,city|mountains|family|culture,,,,,,,https://sikkimtourism.gov.in/
MG Marg,india/north-east-india/sikkim/gangtok-and-east-sikkim/gangtok/mg-marg,landmark,india/north-east-india/sikkim/gangtok-and-east-sikkim/gangtok,India,,domestic,true,true,"Pedestrian boulevard and central shopping, dining and social district.",27.3289,88.6122,,120,,,shopping|food|walking|family,,,,,,,https://sikkimtourism.gov.in/
