name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
North East India,india/north-east-india,region,india,India,,domestic,true,true,Broad tourism region comprising India's northeastern states.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Tripura,india/north-east-india/tripura,state,india/north-east-india,India,,domestic,true,true,"Northeastern state known for royal palaces, rock-cut sculpture, temples, lakes, bamboo culture, wildlife and hill landscapes.",,,,,October to March,,heritage|temples|lakes|culture,,,,,,,https://tripuratourism.gov.in/
Agartala and Western Tripura,india/north-east-india/tripura/agartala-and-western-tripura,region,india/north-east-india/tripura,India,,domestic,true,true,"Capital city, royal heritage, museums, markets, temples and western gateway destinations.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
Sepahijala and Neermahal Circuit,india/north-east-india/tripura/sepahijala-and-neermahal-circuit,region,india/north-east-india/tripura,India,,domestic,true,true,"Neermahal, Sepahijala wildlife, Kasba Kali, Boxanagar and central-western destinations.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
Udaipur and Gomati Circuit,india/north-east-india/tripura/udaipur-and-gomati-circuit,region,india/north-east-india/tripura,India,,domestic,true,true,"Tripura Sundari Temple, Bhubaneswari Temple, Tepania, Chabimura and Gomati landscapes.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
Unakoti and Northern Hills,india/north-east-india/tripura/unakoti-and-northern-hills,region,india/north-east-india/tripura,India,,domestic,true,true,"Unakoti, Kailashahar, Dharmanagar, Jampui Hills and northern heritage.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
Dhalai and Dumboor Circuit,india/north-east-india/tripura/dhalai-and-dumboor-circuit,region,india/north-east-india/tripura,India,,domestic,true,true,"Dumboor Lake, Ambassa, Kamalpur, Longtharai and eastern forest landscapes.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
South Tripura,india/north-east-india/tripura/south-tripura,region,india/north-east-india/tripura,India,,domestic,true,true,"Belonia, Pilak, Mahamuni, Trishna, Sabroom and southern border landscapes.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
Tribal Culture and Eco Tourism,india/north-east-india/tripura/tribal-culture-and-eco-tourism,region,india/north-east-india/tripura,India,,domestic,true,true,"Khumulwng, bamboo tourism, village experiences, crafts and protected landscapes.",,,,,,,,,,,,,,https://tripuratourism.gov.in/
West Tripura District,india/north-east-india/tripura/agartala-and-western-tripura/west-tripura-district,region,india/north-east-india/tripura/agartala-and-western-tripura,India,,domestic,true,true,Tourism catalog region for West Tripura.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Sepahijala District,india/north-east-india/tripura/sepahijala-and-neermahal-circuit/sepahijala-district,region,india/north-east-india/tripura/sepahijala-and-neermahal-circuit,India,,domestic,true,true,Tourism catalog region for Sepahijala.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Gomati District,india/north-east-india/tripura/udaipur-and-gomati-circuit/gomati-district,region,india/north-east-india/tripura/udaipur-and-gomati-circuit,India,,domestic,true,true,Tourism catalog region for Gomati.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Unakoti District,india/north-east-india/tripura/unakoti-and-northern-hills/unakoti-district,region,india/north-east-india/tripura/unakoti-and-northern-hills,India,,domestic,true,true,Tourism catalog region for Unakoti.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
North Tripura District,india/north-east-india/tripura/unakoti-and-northern-hills/north-tripura-district,region,india/north-east-india/tripura/unakoti-and-northern-hills,India,,domestic,true,true,Tourism catalog region for North Tripura.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Dhalai District,india/north-east-india/tripura/dhalai-and-dumboor-circuit/dhalai-district,region,india/north-east-india/tripura/dhalai-and-dumboor-circuit,India,,domestic,true,true,Tourism catalog region for Dhalai.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
South Tripura District,india/north-east-india/tripura/south-tripura/south-tripura-district,region,india/north-east-india/tripura/south-tripura,India,,domestic,true,true,Tourism catalog region for South Tripura.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
Khowai District,india/north-east-india/tripura/tribal-culture-and-eco-tourism/khowai-district,region,india/north-east-india/tripura/tribal-culture-and-eco-tourism,India,,domestic,true,true,Tourism catalog region for Khowai.,,,,,,,,,,,,,,https://tripuratourism.gov.in/
