name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
Western India,india/western-india,region,india,India,,domestic,true,true,Broad tourism region covering western India.,,,,,,,,,,,,,,https://gujarattourism.com/
Gujarat,india/western-india/gujarat,state,india/western-india,India,,domestic,true,true,"Western Indian state known for Harappan archaeology, stepwells, pilgrimage, wildlife, crafts, coastline and living heritage.",,,,,October to March,,heritage|wildlife|pilgrimage|craft,,,,,,,https://gujarattourism.com/
Ahmedabad and Gandhinagar,india/western-india/gujarat/ahmedabad-and-gandhinagar,region,india/western-india/gujarat,India,,domestic,true,true,"Urban heritage, museums, stepwells, riverfronts and modern institutions.",,,,,,,,,,,,,,https://gujarattourism.com/
North Gujarat,india/western-india/gujarat/north-gujarat,region,india/western-india/gujarat,India,,domestic,true,true,"Patan, Modhera, Ambaji, Polo Forest and northern temple and stepwell circuits.",,,,,,,,,,,,,,https://gujarattourism.com/
Kutch,india/western-india/gujarat/kutch,region,india/western-india/gujarat,India,,domestic,true,true,"Great Rann, Bhuj, Mandvi, Dholavira, crafts, flamingos and desert landscapes.",,,,,,,,,,,,,,https://gujarattourism.com/
Saurashtra and Gir,india/western-india/gujarat/saurashtra-and-gir,region,india/western-india/gujarat,India,,domestic,true,true,"Rajkot, Junagadh, Gir, Porbandar, Jamnagar and western peninsula heritage.",,,,,,,,,,,,,,https://gujarattourism.com/
Dwarka and Somnath Coast,india/western-india/gujarat/dwarka-and-somnath-coast,region,india/western-india/gujarat,India,,domestic,true,true,"Krishna pilgrimage, Jyotirlinga, coastal temples, beaches and marine landscapes.",,,,,,,,,,,,,,https://gujarattourism.com/
Central Gujarat,india/western-india/gujarat/central-gujarat,region,india/western-india/gujarat,India,,domestic,true,true,"Vadodara, Champaner, Anand, Kheda, Panchmahal and tribal-cultural destinations.",,,,,,,,,,,,,,https://gujarattourism.com/
South Gujarat,india/western-india/gujarat/south-gujarat,region,india/western-india/gujarat,India,,domestic,true,true,"Surat, Dangs, Saputara, Navsari, Valsad and coastal and forest destinations.",,,,,,,,,,,,,,https://gujarattourism.com/
