name,key,kind,parentKey,country,region,domesticOrIntl,isSystem,isActive,description,latitude,longitude,openingHours,durationMin,bestTime,entryFee,suitabilityTags,googleMapsUrl,iataCode,icaoCode,stationCode,officialName,shortName,sourceUrl
India,india,country,,India,,domestic,true,true,Country catalog root.,,,,,,,,,,,,,,https://www.india.gov.in/
South India,india/south-india,region,india,India,,domestic,true,true,Broad tourism region covering southern India.,,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Kerala,india/south-india/kerala,state,india/south-india,India,,domestic,true,true,"Coastal state known for backwaters, beaches, Western Ghats, wildlife, Ayurveda and living heritage.",,,,,October to March,,backwaters|beaches|hills|culture,,,,,,,https://www.keralatourism.org/destination/
South Kerala,india/south-india/kerala/south-kerala,region,india/south-india/kerala,India,,domestic,true,true,"Thiruvananthapuram, Kollam and Pathanamthitta tourism region.",,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Central Kerala,india/south-india/kerala/central-kerala,region,india/south-india/kerala,India,,domestic,true,true,"Alappuzha, Kottayam, Idukki, Ernakulam and Thrissur tourism region.",,,,,,,,,,,,,,https://www.keralatourism.org/destination/
North Kerala,india/south-india/kerala/north-kerala,region,india/south-india/kerala,India,,domestic,true,true,"Palakkad, Malappuram, Kozhikode, Wayanad, Kannur and Kasaragod tourism region.",,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Thiruvananthapuram District,india/south-india/kerala/south-kerala/thiruvananthapuram-district,region,india/south-india/kerala/south-kerala,India,,domestic,true,true,Tourism catalog region for Thiruvananthapuram.,,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Kollam District,india/south-india/kerala/south-kerala/kollam-district,region,india/south-india/kerala/south-kerala,India,,domestic,true,true,Tourism catalog region for Kollam.,,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Pathanamthitta District,india/south-india/kerala/south-kerala/pathanamthitta-district,region,india/south-india/kerala/south-kerala,India,,domestic,true,true,Tourism catalog region for Pathanamthitta.,,,,,,,,,,,,,,https://www.keralatourism.org/destination/
Alappuzha District,india/south-india/kerala/central-kerala/alappuzha-district,region,india/south-india/kerala/central-kerala,India,,domestic,true,true,Tourism catalog region for Alappuzha.,,,,,,,,,,,,,,https://www.keralatourism.org/destination/
